Date,CYTK,UTHR,IONS,ARWR,SBSW,HMY,JOYY,IREN,MENS,AL,ULTA,ONC,INSM,DOOO,QXO,RARE,EQX,PTCT,BEKE,CRNX,CROX,AGI,CIFR,LI,BHC,BIIB,ASND,MUR,AU,GMAB,RL,W,PFGC,HL,ETOR,APGE,AG,GFI,AEO,LQDA,ARX
2025-09-01,48.91999816894531,414.2200012207031,56.400001525878906,24.719999313354492,8.28499984741211,14.229999542236328,58.279998779296875,28.43000030517578,58.58000183105469,64.18000030517578,523.5399780273438,326.3299865722656,144.19500732421875,66.80999755859375,21.344999313354492,31.475000381469727,9.180000305175781,51.70000076293945,18.375,32.34000015258789,91.0250015258789,31.702800750732422,8.010000228881836,24.309999465942383,7.704999923706055,137.14999389648438,201.69000244140625,25.80500030517578,58.59000015258789,25.760000228881836,308.30999755859375,77.1852035522461,104.87999725341797,8.78499984741211,46.02000045776367,37.529998779296875,9.408699989318848,34.51499938964844,13.354999542236328,28.520000457763672,20.665000915527344
2025-08-01,35.33000183105469,304.760009765625,42.63999938964844,22.030000686645508,7.570000171661377,13.279999732971191,54.060001373291016,26.479999542236328,54.810001373291016,60.209999084472656,492.7300109863281,306.04998779296875,136.10000610351562,62.97999954223633,20.1299991607666,29.959999084472656,8.760000228881836,49.33000183105469,17.579999923706055,30.989999771118164,87.19999694824219,30.450000762939453,7.639999866485596,23.350000381469727,7.420000076293945,132.22000122070312,194.27000427246094,24.508258819580078,55.83329772949219,24.8700008392334,296.92999267578125,74.5999984741211,101.4000015258789,8.505573272705078,44.400001525878906,36.369998931884766,9.140000343322754,33.47999954223633,12.9399995803833,27.68000030517578,20.049999237060547
2025-07-01,37.63999938964844,274.70001220703125,42.97999954223633,15.800000190734863,8.359999656677246,13.460000038146973,50.20000076293945,16.110000610351562,19.059999465942383,55.400001525878906,515.010009765625,301.1300048828125,107.27999877929688,50.5099983215332,20.059999465942383,27.31999969482422,6.099999904632568,52.11000061035156,18.420000076293945,28.59000015258789,99.7300033569336,24.299999237060547,5.460000038146973,26.100000381469727,5.889999866485596,128.0,173.5,24.458965301513672,45.57518768310547,21.670000076293945,298.75,65.63999938964844,100.4000015258789,5.737013816833496,59.959999084472656,38.2599983215332,7.949999809265137,24.360000610351562,10.666601181030273,18.690000534057617,
2025-06-01,33.040000915527344,287.3500061035156,39.5099983215332,15.800000190734863,7.21999979019165,13.970000267028809,49.94982147216797,14.569999694824219,,58.26586151123047,467.82000732421875,242.07000732421875,100.63999938964844,48.312774658203125,21.540000915527344,36.36000061035156,5.75,48.84000015258789,17.739999771118164,28.760000228881836,101.27999877929688,26.535541534423828,4.78000020980835,27.110000610351562,6.659999847412109,125.58999633789062,172.60000610351562,22.181650161743164,44.90510940551758,20.65999984741211,273.3643493652344,51.13999938964844,87.47000122070312,5.986884117126465,66.58999633789062,43.43000030517578,8.270000457763672,23.670000076293945,9.501175880432129,12.460000038146973,
2025-05-01,31.020000457763672,318.8500061035156,33.5099983215332,16.06999969482422,6.090000152587891,14.59000015258789,46.976966857910156,8.390000343322754,,57.38923263549805,471.4599914550781,245.5800018310547,69.7300033569336,43.85727310180664,17.0,34.029998779296875,6.630000114440918,48.52000045776367,18.459999084472656,30.510000228881836,102.0,25.866159439086914,3.119999885559082,28.34000015258789,4.53000020980835,129.7899932861328,162.83999633789062,20.336610794067383,43.048282623291016,20.950000762939453,275.88592529296875,41.2400016784668,89.55999755859375,5.133233070373535,,36.63999938964844,6.164549350738525,23.0,10.824625015258789,14.920000076293945,
2025-04-01,42.84000015258789,303.0899963378906,30.709999084472656,13.890000343322754,4.650000095367432,15.792437553405762,39.45085144042969,6.110000133514404,,46.580810546875,395.6400146484375,259.80999755859375,72.0,33.63398742675781,13.34000015258789,38.97999954223633,6.699999809265137,49.84000015258789,19.883113861083984,33.38999938964844,96.41999816894531,28.493738174438477,2.8499999046325684,24.389999389648438,5.300000190734863,121.08000183105469,170.44000244140625,19.947954177856445,41.426971435546875,21.149999618530273,224.19903564453125,30.15999984741211,80.66000366210938,5.712469100952148,,39.25,6.254470348358154,22.540000915527344,10.278213500976562,13.970000267028809,
2025-03-01,40.189998626708984,308.2699890136719,30.170000076293945,12.739999771118164,4.579999923706055,14.66086196899414,40.23680114746094,6.090000152587891,,47.8985481262207,366.5400085449219,272.1700134277344,76.29000091552734,33.55459213256836,13.539999961853027,36.209999084472656,6.880000114440918,50.959999084472656,19.677427291870117,33.540000915527344,106.19999694824219,26.688138961791992,2.299999952316284,25.200000762939453,6.46999979019165,136.83999633789062,155.86000061035156,27.59482765197754,35.69926071166992,19.579999923706055,219.19699096679688,32.029998779296875,78.62999725341797,5.548589706420898,,37.36000061035156,6.6840901374816895,21.69078254699707,11.342150688171387,14.75,
2025-02-01,46.0,320.04998779296875,33.189998626708984,18.90999984741211,3.190000057220459,9.876477241516113,44.847068786621094,8.239999771118164,,47.51186752319336,366.3599853515625,271.79998779296875,81.55000305175781,39.3504753112793,12.739999771118164,42.91999816894531,6.420000076293945,55.2599983215332,21.812658309936523,35.779998779296875,99.56999969482422,22.815664291381836,4.079999923706055,30.729999542236328,7.440000057220459,140.5,156.5800018310547,25.442974090576172,28.34206199645996,22.68000030517578,269.2447204589844,39.54999923706055,85.13999938964844,5.119472026824951,,31.440000534057617,5.359239101409912,17.645240783691406,12.77700138092041,15.489999771118164,
2025-01-01,49.459999084472656,351.1700134277344,31.899999618530273,19.8799991607666,3.809999942779541,11.186724662780762,41.54991149902344,10.220000267028809,,45.806514739990234,412.1499938964844,224.99000549316406,76.58000183105469,47.448829650878906,13.289999961853027,43.029998779296875,6.070000171661377,45.880001068115234,17.072053909301758,40.29999923706055,102.06999969482422,20.889408111572266,5.730000019073486,23.420000076293945,7.429999828338623,143.92999267578125,130.66000366210938,25.577436447143555,29.05373764038086,19.670000076293945,247.9545440673828,48.369998931884766,90.30999755859375,5.668343544006348,,41.36000061035156,5.688577651977539,16.62403678894043,15.634866714477539,14.229999542236328,
2024-12-01,47.040000915527344,352.8399963378906,34.959999084472656,18.799999237060547,3.299999952316284,8.149334907531738,40.11219787597656,9.819999694824219,,47.58933639526367,434.92999267578125,184.7100067138672,69.04000091552734,50.339317321777344,15.899999618530273,42.06999969482422,5.019999980926514,45.13999938964844,18.041723251342773,51.130001068115234,109.52999877929688,18.380712509155273,4.639999866485596,23.989999771118164,8.0600004196167,152.9199981689453,137.6699981689453,29.063961029052734,22.196632385253906,20.8700008392334,228.5519561767578,44.31999969482422,84.55000305175781,4.899923801422119,,45.29999923706055,5.478998184204102,12.961445808410645,16.148279190063477,11.760000228881836,
2024-11-01,51.86000061035156,370.489990234375,35.72999954223633,26.030000686645508,4.090000152587891,9.122093200683594,37.23677062988281,13.510000228881836,,50.24470520019531,386.6400146484375,215.0,75.16000366210938,48.221649169921875,16.639999389648438,47.630001068115234,5.650000095367432,43.880001068115234,18.462892532348633,57.20000076293945,105.5999984741211,18.759490966796875,6.699999809265137,23.68000030517578,8.369999885559082,160.6300048828125,136.0800018310547,30.89873504638672,23.985445022583008,21.5,228.967529296875,46.2400016784668,88.23999786376953,5.494973182678223,,45.150001525878906,6.093029022216797,14.228132247924805,18.637845993041992,11.550000190734863,
2024-10-01,51.0,373.9700012207031,38.38999938964844,19.229999542236328,4.670000076293945,10.704061508178711,32.63609313964844,9.119999885559082,,43.77902603149414,368.9800109863281,202.63999938964844,67.27999877929688,48.756011962890625,15.220000267028809,50.9900016784668,5.539999961853027,39.91999816894531,21.47964096069336,55.959999084472656,107.81999969482422,20.11511993408203,4.929999828338623,25.010000228881836,9.199999809265137,174.0,122.81999969482422,29.95663833618164,26.735979080200195,22.31999969482422,195.849365234375,42.83000183105469,81.25,6.460575103759766,,52.040000915527344,7.359501361846924,16.182167053222656,18.860326766967773,10.850000381469727,
